HOUSEHOLD,FARM,OWNERSHP,ACREHOUS,TAXINCL,PROPINSR,COSTELEC,VALUEH,ROOMS,PLUMBING,PUMA
2408421,0,2,2,0,0,8,99,8,2,0
2408422,0,1,2,1,59,42,99,9,2,0
2408423,0,1,2,0,24,3,0,4,2,0
2408424,0,0,0,0,0,0,99,0,0,0
2408425,0,2,1,0,0,8,99,5,2,0
2408426,0,2,1,0,0,1,99,3,2,0
2408427,0,1,1,0,34,7,5,5,2,0
2408429,0,2,1,0,0,5,99,3,2,0
2408430,0,2,1,0,0,6,99,6,2,0
2408431,1,1,2,1,59,12,87,8,2,0
2408432,0,2,1,0,0,3,99,3,2,0
2408433,1,1,2,1,59,31,22,6,2,0
2408434,0,1,2,1,25,30,27,7,2,0
2408435,0,1,2,1,59,9,35,8,2,0
2408437,0,1,1,1,59,99,7,4,2,0
2408438,0,1,1,0,35,12,7,5,2,0
2408439,0,1,1,1,40,7,16,5,2,0
2408440,0,1,1,0,59,13,13,4,2,0
2408441,0,2,0,0,0,0,99,3,2,0
2408442,0,1,1,1,59,12,18,3,2,0
2408444,0,1,1,1,28,12,11,7,2,0
2408445,0,1,1,1,59,15,13,7,2,0
2408446,0,1,1,0,25,9,6,4,2,0
2408447,0,1,1,2,59,9,16,7,2,0
2408448,0,1,1,2,40,9,6,7,2,0
2408449,0,1,1,2,2,24,6,7,2,0
2408451,0,2,1,0,0,11,99,3,2,0
2408452,0,1,1,1,59,16,11,6,2,0
2408453,0,2,1,0,0,18,99,6,2,0
2408454,0,1,1,2,50,11,8,7,2,0
2408455,0,2,0,0,0,6,99,5,2,0
2408456,0,1,2,0,59,24,35,6,2,0
2408458,0,1,1,1,59,20,18,7,2,0
2408459,0,0,0,0,0,0,99,0,0,0
2408460,0,1,1,1,51,24,27,9,2,0
2408461,0,2,1,0,0,3,99,4,2,0
2408462,0,1,2,1,59,12,6,8,2,0
2408463,0,1,1,0,59,6,3,5,2,0
2408464,0,2,1,0,0,12,99,5,2,0
2408465,0,1,1,1,59,1,8,2,2,0
2408466,0,1,1,1,40,6,4,4,2,0
2408467,0,2,2,0,0,99,99,5,2,0
2408468,0,1,1,0,40,15,8,5,2,0
2408469,0,1,1,0,17,20,1,2,2,0
2408471,0,1,1,2,40,5,6,4,2,0
2408472,0,2,1,0,0,5,99,5,2,0
2408473,0,2,1,0,0,4,99,3,2,0
2408476,0,2,1,0,0,1,99,3,2,0
2408477,0,1,1,1,20,7,16,7,2,0
2408478,0,1,1,1,26,6,7,3,2,0
2408479,0,0,0,0,0,0,99,0,0,0
2408481,0,1,1,0,20,7,13,6,2,0
2408482,0,2,0,0,0,7,99,4,2,0
2408483,0,2,1,0,0,14,99,4,2,0
2408485,0,2,0,0,0,6,99,3,2,0
2408487,0,2,1,0,0,12,99,6,2,0
2408488,0,1,1,1,35,6,6,4,2,0
2408490,0,1,1,1,59,5,7,6,2,0
2408491,0,1,1,0,40,99,6,5,2,0
2408492,0,1,2,1,40,8,18,4,2,0
2408493,0,0,0,0,0,0,99,0,0,0
2408494,0,1,1,2,30,13,9,6,2,0
2408495,0,1,1,0,31,9,0,5,2,0
2408496,0,1,2,2,59,9,8,5,2,0
2408497,0,1,1,2,40,6,6,4,2,0
2408498,0,1,1,0,29,5,4,6,2,0
2408500,0,1,1,2,30,10,13,6,2,0
2408503,0,1,1,0,40,4,8,5,2,0
2408504,0,1,1,0,50,12,27,5,2,0
2408505,1,1,2,1,59,57,62,8,2,0
2408506,0,1,2,0,48,1,22,5,2,0
2408507,0,0,0,0,0,0,99,0,0,0
2408508,0,1,1,0,45,7,7,4,2,0
2408509,0,1,1,1,40,12,11,7,2,0
2408512,0,0,0,0,0,0,99,0,0,0
2408513,0,1,1,1,32,6,6,6,2,0
2408515,0,1,1,0,59,10,11,7,2,0
2408516,0,1,1,1,59,7,11,6,2,0
2408517,0,1,1,1,59,15,16,5,2,0
2408518,0,2,0,0,0,5,99,4,2,0
2408519,0,1,1,1,22,12,6,5,2,0
2408520,0,1,1,2,5,4,7,3,2,0
2408521,0,1,1,2,43,15,13,6,2,0
2408522,0,1,1,2,40,8,8,5,2,0
2408523,0,2,0,0,0,5,99,5,2,0
2408525,0,1,1,0,50,2,4,4,2,0
2408526,0,2,1,0,0,8,99,3,2,0
2408527,0,1,1,1,59,25,35,5,2,0
2408528,0,1,1,2,59,15,16,6,2,0
2408530,0,0,0,0,0,0,99,0,0,0
2408531,0,1,2,1,50,18,16,7,2,0
2408532,0,0,0,0,0,0,99,0,0,0
2408534,0,1,1,0,40,7,9,6,2,0
2408535,0,1,2,2,59,19,27,8,2,0
2408536,0,1,1,1,32,9,1,2,2,0
2408537,0,1,1,0,40,3,6,4,2,0
2408538,0,1,0,1,0,0,5,4,2,0
2408539,0,0,0,0,0,0,99,0,0,0
2408540,0,1,2,0,40,6,16,6,2,0
2408541,0,1,1,1,14,7,3,6,2,0
2408542,0,1,1,0,0,8,1,3,2,0
2408543,0,1,1,1,59,16,22,9,2,0
2408544,0,1,1,0,50,3,4,6,2,0
2408545,0,2,1,0,0,3,99,3,2,0
2408546,0,0,0,0,0,0,99,0,0,0
2408547,0,1,1,1,40,4,8,7,2,0
2408548,1,1,2,0,35,10,18,8,2,0
2408550,0,1,1,1,59,9,13,6,2,0
2408551,0,1,1,2,16,13,6,4,2,0
2408552,0,2,1,0,0,3,99,4,2,0
2408553,0,1,1,1,40,7,7,5,2,0
2408554,0,1,1,1,30,10,5,5,2,0
2408555,0,1,1,0,59,13,9,6,2,0
2408556,0,0,0,0,0,0,99,0,0,0
2408557,0,2,1,0,0,12,99,2,2,0
2408558,0,2,1,0,0,9,99,3,2,0
2408559,0,1,1,0,47,9,11,5,2,0
2408560,0,1,1,0,40,10,9,5,2,0
2408561,0,1,1,2,38,8,8,5,2,0
2408562,0,1,1,2,59,13,16,6,2,0
2408563,0,2,1,0,0,8,99,5,2,0
2408564,0,2,1,0,0,2,99,3,2,0
2408565,0,2,0,0,0,99,99,1,2,0
2408567,0,1,1,0,59,2,22,6,2,0
2408568,0,0,0,0,0,0,99,0,0,0
2408569,0,1,1,2,50,9,11,6,2,0
2408570,0,2,1,0,0,12,99,5,2,0
2408571,0,1,1,1,34,4,3,5,2,0
2408572,0,1,1,2,32,13,16,7,2,0
2408573,0,1,1,2,59,6,18,7,2,0
2408574,0,1,1,2,50,14,11,6,2,0
2408575,0,1,1,2,40,25,13,5,2,0
2408576,0,2,1,0,0,2,99,3,2,0
2408577,0,1,1,0,31,6,0,3,2,0
2408578,0,2,1,0,0,11,99,4,2,0
2408579,0,1,1,0,59,5,5,6,2,0
2408581,0,0,0,0,0,0,99,0,0,0
2408582,0,2,1,0,0,3,99,4,2,0
2408583,0,1,1,0,54,9,22,4,2,0
2408584,0,1,1,2,35,4,8,5,2,0
2408586,0,2,2,0,0,8,99,5,2,0
2408587,0,0,0,0,0,0,99,0,0,0
2408588,0,1,1,1,59,8,13,6,2,0
2408589,0,1,1,0,28,4,5,5,2,0
2408590,0,2,0,0,0,4,99,4,2,0
2408591,0,2,1,0,0,4,99,2,2,0
2408592,0,1,1,0,30,6,0,4,2,0
2408593,0,1,1,0,40,2,2,3,2,0
2408594,0,1,2,0,25,99,7,1,1,0
2408595,0,1,1,0,59,20,22,6,2,0
2408596,0,1,1,0,20,5,8,6,2,0
2408597,0,1,1,2,9,10,9,2,2,0
2408598,1,2,2,0,0,99,99,9,2,0
2408599,0,1,1,0,20,99,0,4,2,0
2408600,0,1,2,1,59,12,16,7,2,0
2408601,0,0,0,0,0,0,99,0,0,0
2408602,0,1,1,1,59,13,22,7,2,0
2408603,0,1,2,2,50,9,18,7,2,0
2408604,0,1,1,2,40,6,7,6,2,0
2408605,0,2,1,0,0,3,99,4,2,0
2408606,0,1,1,2,50,9,13,5,2,0
2408607,0,1,1,0,59,20,7,6,2,0
2408608,0,1,1,0,59,11,16,5,2,0
2408609,0,1,1,1,50,18,8,5,2,0
2408610,0,1,1,1,7,6,8,6,2,0
2408612,0,1,1,0,16,11,0,3,2,0
2408613,0,1,1,1,59,12,18,3,2,0
2408614,0,1,1,0,50,10,8,5,2,0
2408615,0,1,1,0,40,4,2,4,2,0
2408616,0,1,1,1,59,15,13,5,2,0
2408617,0,2,1,0,0,3,99,3,2,0
2408618,1,1,2,1,33,8,8,6,2,0
2408619,0,2,1,0,0,10,99,4,2,0
2408620,0,1,1,1,59,11,16,6,2,0
2408621,0,1,1,0,20,5,5,4,2,0
2408622,0,1,1,2,59,12,9,6,2,0
2408623,0,1,1,0,59,12,7,8,2,0
2408624,0,1,1,0,40,6,6,4,2,0
2408625,0,1,1,1,44,8,7,7,2,0
2408626,0,1,1,0,59,7,27,6,2,0
2408629,0,1,1,0,48,6,9,5,2,0
2408631,0,1,1,0,27,1,1,3,2,0
2408633,0,1,1,0,49,10,18,5,2,0
2408634,0,1,1,0,59,14,13,6,2,0
2408635,0,0,0,0,0,0,99,0,0,0
2408637,0,1,1,2,40,7,9,5,2,0
2408639,0,1,1,1,43,7,7,5,2,0
2408640,0,0,0,0,0,0,99,0,0,0
2408641,0,2,1,0,0,7,99,5,2,0
2408642,0,2,1,0,0,20,99,4,2,0
2408643,0,2,1,0,0,8,99,5,2,0
2408644,0,1,1,0,20,3,1,4,2,0
2408645,0,1,1,1,40,10,9,6,2,0
2408646,0,1,1,0,28,3,1,5,2,0
2408647,0,2,1,0,0,6,99,4,2,0
2408648,0,1,1,1,40,0,11,6,2,0
2408649,0,1,2,0,40,6,5,4,2,0
2408651,0,1,1,2,59,18,22,8,2,0
2408652,0,1,1,1,59,18,18,8,2,0
2408653,0,2,0,0,0,6,99,2,2,0
2408654,0,1,2,0,30,6,0,3,2,0
2408656,0,2,1,0,0,0,99,4,2,0
2408657,0,1,1,0,40,2,16,5,2,0
2408658,0,1,1,0,40,6,8,4,2,0
2408659,0,1,1,0,39,9,8,6,2,0
2408660,0,2,1,0,0,4,99,3,2,0
2408661,0,2,0,0,0,9,99,4,2,0
2408662,0,2,1,0,0,7,99,6,2,0
2408663,0,1,1,0,50,6,27,6,2,0
2408664,0,2,1,0,0,4,99,5,2,0
2408665,0,1,1,0,59,24,13,7,2,0
2408666,0,1,1,0,50,3,5,4,2,0
2408667,0,1,1,1,30,2,7,2,2,0
2408668,0,1,1,2,52,6,6,5,2,0
2408669,0,1,1,1,41,24,3,6,2,0
2408671,0,1,1,1,59,7,6,5,2,0
2408672,0,2,1,0,0,8,99,4,2,0
2408673,0,1,1,1,50,9,16,6,2,0
2408674,0,2,1,0,0,7,99,4,2,0
2408675,0,1,1,0,36,18,7,4,2,0
2408676,0,2,1,0,0,4,99,1,2,0
2408677,0,1,1,0,38,3,0,4,2,0
2408678,0,2,1,0,0,17,99,3,2,0
2408679,0,2,1,0,0,6,99,5,2,0
2408682,0,1,1,0,40,7,3,4,2,0
2408683,0,1,1,2,59,11,13,4,2,0
2408684,0,2,0,0,0,6,99,4,2,0
2408685,1,1,2,1,59,6,87,7,2,0
2408686,0,1,1,0,27,3,0,3,2,0
2408687,0,1,1,1,48,18,4,7,2,0
2408688,0,1,1,1,50,12,9,7,2,0
2408689,0,1,1,0,59,11,35,6,2,0
2408691,0,1,1,0,43,6,11,5,2,0
2408692,0,1,1,0,15,5,2,5,2,0
2408693,0,2,1,0,0,5,99,5,2,0
2408694,0,2,1,0,0,3,99,6,2,0
2408696,0,1,1,2,40,8,4,5,2,0
2408697,0,1,1,0,59,42,11,6,2,0
2408699,0,1,2,1,34,14,13,8,2,0
2408700,0,2,1,0,0,5,99,4,2,0
2408701,0,1,1,0,40,5,3,4,2,0
2408702,0,1,1,0,30,7,4,5,2,0
2408703,0,2,1,0,0,2,99,2,2,0
2408704,0,1,2,1,59,10,16,6,2,0
2408705,0,1,1,1,40,8,6,4,2,0
2408707,0,2,1,0,0,9,99,4,2,0
2408708,1,2,2,0,0,99,99,7,2,0
2408709,0,1,1,0,40,8,9,8,2,0
2408710,0,1,1,1,30,8,5,6,2,0
2408711,0,1,2,1,36,99,22,3,2,0
2408712,0,1,1,0,40,3,6,3,2,0
2408713,0,0,0,0,0,0,99,0,0,0
2408714,0,2,1,0,0,6,99,4,2,0
2408715,0,1,1,0,40,6,13,9,2,0
2408716,0,1,1,1,59,10,9,5,2,0
2408717,0,0,0,0,0,0,99,0,0,0
2408718,0,1,1,0,45,3,6,4,2,0
2408719,1,1,2,2,59,16,27,6,2,0
2408720,0,1,1,0,40,6,7,7,2,0
2408721,0,1,1,2,59,19,18,6,2,0
2408722,0,0,0,0,0,0,99,0,0,0
2408723,0,1,1,0,59,7,3,3,2,0
2408725,0,1,1,2,35,4,5,4,2,0
2408726,0,0,0,0,0,0,99,0,0,0
2408727,0,0,0,0,0,0,99,0,0,0
2408728,0,2,1,0,0,5,99,5,2,0
2408729,0,2,2,0,0,6,99,5,2,0
2408730,0,1,1,0,36,15,22,9,2,0
2408731,0,1,2,2,59,10,11,5,2,0
2408732,0,1,2,2,59,4,6,5,2,0
2408733,0,1,1,0,40,10,5,4,2,0
2408734,0,1,1,2,59,12,13,5,2,0
2408735,0,2,0,0,0,6,99,2,2,0
2408736,0,1,1,1,35,22,13,9,2,0
2408737,0,1,1,0,30,12,3,5,2,0
2408739,0,1,1,0,39,13,11,8,2,0
2408740,0,2,1,0,0,6,99,5,2,0
2408741,0,0,0,0,0,0,99,0,0,0
2408742,0,1,1,2,48,7,8,5,2,0
2408743,0,2,1,0,0,12,99,5,2,0
2408744,0,1,2,1,48,12,11,6,2,0
2408745,0,0,0,0,0,0,99,0,0,0
2408746,0,1,1,1,59,5,16,4,2,0
2408747,0,1,1,0,38,4,5,4,2,0
2408748,0,1,1,0,23,6,5,4,2,0
2408749,0,1,2,0,39,6,13,7,2,0
2408750,0,1,1,1,59,4,11,4,2,0
2408751,0,1,1,1,52,11,3,7,2,0
2408752,0,1,2,1,59,15,45,8,2,0
2408753,0,1,1,2,59,9,6,6,2,0
2408754,0,0,0,0,0,0,99,0,0,0
2408755,0,0,0,0,0,0,99,0,0,0
2408756,0,1,1,0,39,6,8,6,2,0
2408759,0,1,1,0,59,10,13,6,2,0
2408760,0,1,1,1,19,4,7,5,2,0
2408761,0,1,1,1,46,11,13,6,2,0
2408762,0,1,1,2,59,20,9,5,2,0
2408763,0,1,1,0,43,42,22,5,2,0
2408764,0,0,0,0,0,0,99,0,0,0
2408765,0,1,1,1,49,3,6,5,2,0
2408767,0,1,1,1,45,7,6,5,2,0
2408768,0,1,1,0,22,0,0,3,2,0
2408769,0,1,1,0,59,9,8,4,2,0
2408770,0,2,1,0,0,8,99,7,2,0
2408771,0,1,1,1,50,10,6,8,2,0
2408772,0,1,1,1,59,11,22,5,2,0
2408773,0,1,1,2,59,30,11,6,2,0
2408774,0,2,1,0,0,12,99,5,2,0
2408775,0,1,1,0,20,6,1,5,2,0
2408776,0,2,1,0,0,99,99,4,2,0
2408777,0,1,1,1,35,1,5,5,2,0
2408778,0,1,1,0,16,3,0,3,2,0
2408779,0,1,1,1,45,7,9,6,2,0
2408780,0,2,1,0,0,11,99,4,2,0
2408781,0,1,2,1,59,7,11,2,2,0
2408783,0,2,1,0,0,6,99,7,2,0
2408784,0,2,1,0,0,4,99,3,2,0
2408786,0,2,1,0,0,99,99,3,2,0
2408787,0,1,1,1,54,18,11,7,2,0
2408789,0,0,0,0,0,0,99,0,0,0
2408790,0,0,0,0,0,0,99,0,0,0
2408791,0,1,2,2,39,18,7,8,2,0
2408792,0,2,1,0,0,10,99,5,2,0
2408793,0,2,0,0,0,3,99,2,2,0
2408794,0,1,2,0,53,4,18,4,2,0
2408795,0,1,1,2,40,16,6,5,2,0
2408796,0,1,1,1,50,9,13,7,2,0
2408797,0,1,1,2,59,5,27,6,2,0
2408798,0,1,1,0,47,8,11,6,2,0
2408800,0,1,1,1,48,3,13,4,2,0
2408801,0,1,1,0,53,6,9,6,2,0
2408802,0,2,1,0,0,12,99,6,2,0
2408803,0,1,1,0,36,9,8,5,2,0
2408804,0,1,2,1,59,6,22,4,2,0
2408805,0,2,1,0,0,99,99,1,1,0
2408806,0,0,0,0,0,0,99,0,0,0
2408807,0,0,0,0,0,0,99,0,0,0
